subject,course_number,pre_requisite_subject,pre_requisite_number
GSJ,430,SPAN,150
SPAN,217,SPAN,150
SPAN,234,SPAN,150
SPAN,326,SPAN,150
SPAN,329,SPAN,150
SPAN,387,SPAN,150
SPAN,400,SPAN,150
SPAN,410,SPAN,150
SPAN,430,SPAN,150
SPCOM,226,SPCOM,101
SPCOM,401,SPCOM,101
SPCOM,471,SPCOM,101
SPCOM,402,SPCOM,226
STAT,322,STAT,221
CS,479,STAT,230
STAT,333,STAT,230
STAT,372,STAT,231
STAT,631,STAT,231
HLTH,664,STAT,316
STAT,431,STAT,330
STAT,440,STAT,330
STAT,450,STAT,330
STAT,466,STAT,330
STAT,443,STAT,331
STAT,435,STAT,332
STAT,454,STAT,332
STAT,433,STAT,333
STAT,464,STAT,333
STAT,441,STAT,341
STAT,442,STAT,341
STAT,444,STAT,341
STAT,436,STAT,431
STAT,437,STAT,431
STAT,438,STAT,431
STAT,836,STAT,431
STAT,932,STAT,431
STAT,936,STAT,431
ECON,727,STAT,850
SYDE,660B,SYDE,600
VCULT,300,VCULT,200
